epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,94.4245,1.13247,0.8731,0.93603,0.75487,0.62291,0.66219,0.41022,1.21397,0.80448,0.92487,0.000352076,0.000352076,0.000352076
71,95.7424,1.10891,0.83429,0.91933,0.83466,0.58281,0.6876,0.40855,1.30249,0.82479,0.93827,0.000341077,0.000341077,0.000341077
72,97.0967,1.1339,0.87846,0.92932,0.83859,0.59182,0.69599,0.41474,1.34366,0.84373,0.94811,0.000330078,0.000330078,0.000330078
73,98.3594,1.10523,0.84674,0.9333,0.67655,0.67811,0.69203,0.42199,1.29232,0.83673,0.93948,0.000319079,0.000319079,0.000319079
74,99.6363,1.10096,0.85154,0.91899,0.70003,0.61466,0.67012,0.43015,1.16324,0.80471,0.91946,0.00030808,0.00030808,0.00030808
75,101.058,1.12279,0.85253,0.91458,0.58387,0.68458,0.65341,0.42912,1.13403,0.7865,0.91509,0.000297081,0.000297081,0.000297081
76,102.762,1.11773,0.83616,0.92082,0.61641,0.67145,0.66289,0.41266,1.22711,0.80409,0.92602,0.000286083,0.000286083,0.000286083
77,104.128,1.08502,0.8104,0.91618,0.64877,0.66391,0.67603,0.42052,1.23899,0.80533,0.92663,0.000275084,0.000275084,0.000275084
78,105.536,1.09499,0.83913,0.92236,0.85054,0.51313,0.67535,0.42869,1.17105,0.78802,0.91761,0.000264085,0.000264085,0.000264085
79,106.914,1.05408,0.80039,0.92197,0.80209,0.54178,0.67874,0.43978,1.14998,0.77596,0.9175,0.000253086,0.000253086,0.000253086
80,108.284,1.06185,0.78377,0.91393,0.78837,0.55287,0.68122,0.42969,1.21742,0.78369,0.92976,0.000242087,0.000242087,0.000242087
81,109.657,1.10041,0.82062,0.91065,0.63752,0.68802,0.68713,0.43234,1.18481,0.77956,0.92481,0.000231088,0.000231088,0.000231088
82,111.051,1.1046,0.79321,0.90967,0.74311,0.65071,0.6887,0.45127,1.12262,0.77565,0.91334,0.000220089,0.000220089,0.000220089
83,112.467,1.10937,0.79614,0.9047,0.7894,0.6091,0.69547,0.45337,1.15471,0.79206,0.91568,0.00020909,0.00020909,0.00020909
84,113.908,1.09203,0.81884,0.93202,0.72836,0.68604,0.69457,0.44587,1.21637,0.81182,0.92435,0.000198091,0.000198091,0.000198091
85,115.269,1.12306,0.83571,0.93002,0.73371,0.68609,0.68949,0.43958,1.20189,0.80727,0.92213,0.000187092,0.000187092,0.000187092
86,116.69,1.03075,0.8296,0.91427,0.70832,0.69198,0.68208,0.43451,1.14842,0.78541,0.91553,0.000176094,0.000176094,0.000176094
87,118.119,1.0628,0.78956,0.91361,0.72245,0.62126,0.66373,0.42902,1.10303,0.77397,0.90831,0.000165095,0.000165095,0.000165095
88,119.506,1.08265,0.79185,0.91261,0.66392,0.66154,0.65025,0.41361,1.13912,0.78332,0.91123,0.000154096,0.000154096,0.000154096
89,120.874,1.08703,0.82592,0.92118,0.62837,0.67932,0.64716,0.40808,1.17203,0.79375,0.91647,0.000143097,0.000143097,0.000143097
90,122.515,1.05339,0.77801,0.9059,0.62861,0.6934,0.65801,0.41588,1.1901,0.79007,0.92011,0.000132098,0.000132098,0.000132098
